class code,1a,1b,1c,2a,2b,2c,3a,3b,3c,3d,4a,4b,4c,4d,5a,5b,5c,6a,6b,6c,6d,7a,7b,7c
CEDF70900, , ,i, ,i, , ,m, ,m, , ,u,i, , , ,m,m, , , , ,m
ECF70000, , ,i, ,i, , ,m, ,m, , ,u,i, , , ,m,m, , , , ,m
ECF20000/70000, ,im,m,mu,imu, ,imua,imua,mu,m,iu,mu,mu,imua,m, , ,u,imua,m,imu, ,m, 
ECF20100/70100, ,im,m,mu,imu, ,imua,imua,mu,m,iu,mu,mu,imua,m, , ,u,imua,m,imu, ,m, 
CEDF70600, ,im,m,mu,imu, ,imua,imua,mu,m,iu,mu,mu,imua,m, , ,u,imua,m,imu, ,m, 
QSTB40380, ,im,m,mu,imu, ,imua,imua,mu,m,iu,mu,mu,imua,m, , ,u,imua,m,imu, ,m, 
SEDF20300/70300, ,im,m,mu,imu, ,imua,imua,mu,m,iu,mu,mu,imua,m, , ,u,imua,m,imu, ,m, 
SEDF72000,m,i,u,i,i,i,m,m,m,i,u,i,i,i,u,u,i,i,i,i,m,i, ,i
ECF70200, , ,u, ,m,u,ua, ,m,m, ,u, ,m,u,u,u, , ,u, , ,ua,ua
CEDF71600,ua, ,u,m,m,m,ua, , ,m, , , , ,u, , , , ,ua, ,ua,ua,ua
CHND71200,im,iu,iu,i,i,imua,i,imu,i,imu,imua,imua,i,i,imua,imua,imua,imu,imua,i,imu,i,imua,imua
CHND71300,imu,im,i,i,i,i, ,i,i,i,imu,i,iu, ,imua,i,i,i,i, ,iu,i,iua,imu
LATED71200,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im
LATED71300,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im
SEDC32300/72300,u,m,u,m,u,m,m,u,m,m,u,m,m,m,m,m,m,u,m,m,u,u,u,m
SEDC30700/70700,u,m,m,m,u,u,ua,ua,m,i,u,m,u,u,u,m,u,ua,u,u,u,u,u,ua
SEDC21300/71300,ua, ,m,ua,ua,i, ,u, , ,u,u, , ,u,ua,u,ua,ua,ua, , ,u,u
SEDC71900,iu, , ,iu, ,iu, , , , ,iu,iu, , ,iu,iu, , ,iu, , , ,iu, 
CHND73100,imua,imua,i,i,i,imu,i,imu,i,iu,i,iua,i,i,i,i,i,imua,i, ,imua,i,im,imu
CHND74110,imua,imua,i,i,i,imu,i,imu,i,iu,i,iua,i,i,i,i,i,imua,i, ,imua,i,im,imu
LATED73100,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im
LATED74100,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im,im
SEDC45201/75201,im,im,u,im,imu,imu,im,imua,imua, ,imua,imua,imua,imua,imua,imua,imua,imua,imua,imua,imua,imua,imua,imua
